City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Atuona,-9.8,-139.03,26.33,75,37,7.85,PF,1595028797
Rikitea,-23.12,-134.97,23.02,82,100,6.76,PF,1595028908
Itupiranga,-5.13,-49.33,26.0,69,1,0.42,BR,1595029082
Kodinsk,58.69,99.18,10.86,66,90,4.0,RU,1595029082
Yellowknife,62.46,-114.35,20.0,40,75,3.6,CA,1595028744
Mahébourg,-20.41,57.7,21.0,73,75,6.2,MU,1595028760
Nikolskoye,59.7,30.79,14.0,82,12,1.0,RU,1595028917
Klaksvík,62.23,-6.59,10.0,93,76,8.2,FO,1595028947
Pachino,36.72,15.09,25.0,76,0,0.45,IT,1595029083
Narsaq,60.92,-46.05,14.0,49,5,3.6,GL,1595028919
Upernavik,72.79,-56.15,7.82,58,80,3.28,GL,1595029084
Pilar,-9.6,-35.96,22.0,94,90,3.1,BR,1595029084
Wanaka,-44.7,169.15,-0.56,88,0,0.89,NZ,1595028798
Puerto Ayora,-0.74,-90.35,21.11,89,43,0.89,EC,1595028905
Gushikawa,26.35,127.87,29.0,89,75,3.1,JP,1595029086
Ponta do Sol,32.67,-17.1,22.22,77,7,0.55,PT,1595028917
Thompson,55.74,-97.86,21.0,60,90,2.1,CA,1595028941
Visnes,59.36,5.22,14.0,93,100,2.6,NO,1595029087
Bluff,-46.6,168.33,3.89,83,10,1.34,NZ,1595028914
Vaslui,46.63,27.73,19.0,72,34,1.5,RO,1595029087
Beipiao,41.79,120.78,23.51,75,100,5.7,CN,1595029088
Airai,-8.93,125.41,17.43,89,30,1.75,TL,1595028734
Saint George,37.1,-113.58,39.44,13,1,5.7,US,1595028920
Punta Arenas,-53.15,-70.92,1.0,69,100,5.1,CL,1595028907
Hobart,-42.88,147.33,6.0,81,75,5.1,AU,1595028772
Naze,28.37,129.48,28.0,94,75,7.2,JP,1595028746
Khatanga,71.97,102.5,4.52,92,100,4.56,RU,1595028928
Haicheng,40.85,122.75,24.68,58,76,4.09,CN,1595029090
Mar del Plata,-38.0,-57.56,10.56,93,75,6.2,AR,1595028885
Busselton,-33.65,115.33,7.78,90,86,4.34,AU,1595028772
Port Alfred,-33.59,26.89,17.78,27,0,4.98,ZA,1595028915
Kirkwall,58.98,-2.96,11.11,76,57,4.1,GB,1595029090
Jijiga,9.35,42.8,16.45,72,89,5.91,ET,1595029091
Hokitika,-42.72,170.97,12.46,50,2,0.73,NZ,1595029092
Ushuaia,-54.8,-68.3,-2.0,86,73,3.1,AR,1595028909
Richards Bay,-28.78,32.04,12.98,78,0,3.71,ZA,1595028948
Gadwāl,16.23,77.8,23.76,86,90,3.72,IN,1595029093
Nanortalik,60.14,-45.24,7.89,68,14,4.48,GL,1595028944
Baykit,61.67,96.37,11.24,61,54,5.32,RU,1595029093
Albany,42.6,-73.97,28.33,57,38,2.56,US,1595028902
Saint Paul Harbor,57.79,-152.41,16.0,72,90,4.6,US,1595028931
Bredasdorp,-34.53,20.04,7.0,87,0,1.0,ZA,1595028906
Inírida,3.87,-67.92,24.07,91,96,0.53,CO,1595029094
Moose Factory,51.26,-80.61,25.0,47,40,6.7,CA,1595028953
Barrow,71.29,-156.79,3.0,84,90,6.2,US,1595028922
Strezhevoy,60.73,77.59,15.0,82,19,2.0,RU,1595029095
Castro,-24.79,-50.01,14.61,90,0,1.05,BR,1595028908
Kapaa,22.08,-159.32,31.11,74,40,4.1,US,1595028748
Hilo,19.73,-155.09,30.0,62,1,4.1,US,1595028918
Port Hedland,-20.32,118.57,15.0,93,40,2.1,AU,1595029097
Ternate,0.8,127.4,27.5,75,5,0.7,ID,1595029097
Sitka,57.05,-135.33,13.0,87,90,5.1,US,1595028740
Vaini,-21.2,-175.2,26.0,83,75,3.6,TO,1595028904
Saquarema,-22.92,-42.51,22.0,83,75,1.5,BR,1595029097
Tuatapere,-46.13,167.68,3.89,83,32,1.34,NZ,1595028947
Bethel,41.37,-73.41,27.0,69,1,2.1,US,1595028915
Çermik,38.14,39.45,22.0,35,0,2.6,TR,1595029098
Hermanus,-34.42,19.23,16.11,43,0,4.02,ZA,1595028912
Lüderitz,-26.65,15.16,21.0,16,0,3.1,NA,1595028939
Saint-Philippe,-21.36,55.77,19.0,72,90,3.6,RE,1595028741
Mataura,-46.19,168.86,3.89,83,0,1.34,NZ,1595028905
Tshikapa,-6.42,20.8,19.93,40,19,1.13,CD,1595029099
Takoradze,4.88,-1.76,23.69,89,71,3.49,GH,1595029100
San Patricio,19.22,-104.7,30.0,66,40,5.1,MX,1595028945
Sencha,50.25,33.35,14.91,80,0,1.59,UA,1595029100
Sisimiut,66.94,-53.67,11.83,61,1,0.52,GL,1595028969
Marawi,8.0,124.29,23.89,88,10,2.24,PH,1595029100
Demba,-5.51,22.27,19.76,48,6,1.09,CD,1595029101
Ouallam,14.32,2.09,31.6,49,22,5.15,NE,1595029101
Murgab,37.5,61.97,28.0,30,40,5.1,TM,1595029101
